name,x,y
C-5-E, 73.4295825981836, 37.03045944530273
C-6-A, 79.47414579576171, 31.876492906137695
C-6-C, 97.66543695757812, 44.815737364091795
D-9-A, 79.48145386636719, 38.36027234
D-9-H, 64.4718904122754, 31.70197599507324
D-9-J, 10.49052681, 44.3464995
D-9-M, 29.28581688, 51.2253187
G-1-A, 82.46192449818359, 41.41381002939453
G-1-E, 68.85180880818359, 31.870938571586912
G-1-H, 62.3965087718164, 34.32994788636719
G-1-K, 60.79589141, 43.74457888
G-1-M, 39.42905052, 50.316506
G-1-T, 50.87648956, 42.19107906
G-2-Z, 48.65326075, 24.03592647
G-34-A, 89.29409509939453, 46.27522117060547
G-34-E, 66.21279846576172, 33.55009886075195
G-34-H, 63.1186366059082, 37.34939938455078
G-34-K, 57.144956884697265, 41.7862568759082
G-34-N, 41.80044928, 29.30965247
G-34-S, 46.0948981, 37.92190478
G-34-T, 43.90509701, 39.75286269
G-34-U, 36.82096606711914, 29.446442213862305
G-34-V, 42.1813530259082, 33.291448086513675
G-34-W, 39.744976657265624, 31.106860105449222
G-34-Y, 40.00080979, 27.20760943
G-34-Z, 48.1215359, 19.72008635
H-1-A, 86.73225230939453, 45.3604407859082
H-1-M, 41.00400491, 49.97046778
J-11-A, 82.55132208939453, 45.04245851060547
K-9-O, 37.01592380166992, 45.636952173632814
K-9-OA, 38.955488736972654, 44.91677536060547
K-9-Q, 12.93869754, 45.56088186
K-9-T, 42.15015860045899, 46.16787639348633
K-9-TA, 40.35652370864258, 45.76077985469727
K-9-Z, 50.2357382, 22.00849664
K-9-ZE, 46.94139243, 21.69095617
K-19-A, 97.85676665486328, 41.91149559910156
K-29-A, 94.85518498939453, 43.41200756576172
K-39-A, 84.2880984096875, 43.63098633348633
K-49-A, 94.16355381515625, 39.07348518954102
K-59-A, 87.95059080423827, 43.70745225803711
K-69-A, 86.58059038060547, 32.41951741476074
L-12-T, 51.63478972, 40.06843766
L-21-A, 92.15978971576172, 37.21926828818359
L-21-C, 92.10530364, 46.32329681
L-21-E, 72.55128759939453, 34.59984394
P-9-A, 85.82872083878907, 41.405931064091796
P-9-D, 79.1545577163672, 34.93130952469726
P-9-E, 66.89962749818359, 35.68678513651367
P-9-J, 23.16787153, 49.7150583
P-17-A, 91.7428528563672, 40.92282787939453
Q-11-A, 79.55437984697265, 41.56573432060547
Q-11-K, 59.89369981302735, 46.73937934757812
S-1-A, 84.07828639757813, 34.525723119394534
S-1-E, 70.73364244757812, 37.71799052
S-1-H, 66.35302740878906, 39.27080217939453
S-1-K, 56.677603203027346, 45.984046629394534
S-1-L, 49.57030363014648, 47.59762847757813
S-1-M, 46.34684585, 49.68012069
S-2-K, 61.94157454166992, 44.90171732772461
S-3-A, 85.6516214381836, 37.97476973
S-3-E, 70.7775367181836, 35.491655506972656
S-3-H, 60.34978186, 36.48838047
S-3-M, 36.60359927, 51.35906035
S-3-T, 46.52777361, 43.57252737
S-4-D, 79.60848691757812, 36.67528259878906
S-4-E, 70.39997972878906, 33.03099192711914
S-4-H, 62.93466327, 41.33630843
S-4-K, 55.55665152121094, 43.91691708181641
S-4-M, 43.179548, 50.75073188
S-4-P, 55.38933513530274, 21.84444913
S-4-T, 40.13001612, 41.927659
S-4-W, 45.07523288, 34.47158034
S-4-X, 46.06994815, 11.97487747
S-4-Y, 37.37865891, 25.71959551
S-4-Z, 44.31525567, 20.25232667
S-8-P, 54.65441696, 20.09061385
T-9-L, 52.22311557757813, 46.301564991816406
T-9-M, 38.715520175302736, 47.36336256
T-9-O, 35.51311378, 48.85472635
T-9-Q, 14.71465838, 46.74516222
T-9-QA, 16.84295001, 48.14328947
T-10-A, 82.38916798636718, 32.153319646137696
T-19-A, 82.0367394, 35.84229066
TB-9-AK, 62.69310268014648, 46.894752783945314
U-11-A, 81.30871546636719, 43.34262998121094
Y-5-A, 88.46489577636719, 33.57631796060547
Y-6-A, 89.31279944697266, 36.758708039394534
Y-26-A, 82.06323652757813, 38.60943226469727
